Bus No,Stop Name,Arrival Time,Distance,Latitude,Longitude
100,Kendriya Terminal (Church Road),07:00 AM,0 km,28.617312,77.203904
100,Kendriya Terminal / Gurudwara Rakab Gunj,07:01 AM,0.42 km,28.6195246,77.2060375
100,Talkatora Road,07:02 AM,0.25 km,28.6253589,77.1942895
100,RML Hospital,07:04 AM,0.57 km,28.6257093,77.2006339
100,RML Hospital,07:05 AM,0.1 km,28.6257093,77.2006339
100,Gurudwara Bangla Sahib,07:09 AM,1.06 km,28.6258652,77.20895180000001
100,YMCA / Palika Kendra,07:10 AM,0.32 km,28.62636,77.21267999999999
100,Palika Kendra,07:12 AM,0.46 km,28.628543,77.21686799999999
100,Shivaji Stadium Terminal,07:14 AM,0.49 km,28.633038,77.215071
100,Shaheed Bhagat Singh Marg,07:15 AM,0.31 km,28.6334259,77.211157
100,Shaheed Bhagat Singh Marg,07:17 AM,0.3 km,28.6334259,77.211157
100,Gole Market,07:18 AM,0.41 km,28.633868,77.20531319999999
100,Rama Krishna Ashram Marg,07:19 AM,0.29 km,28.636481,77.2065924
100,Chitra Gupta Road,07:21 AM,0.46 km,28.6426469,77.2088473
100,CGHS Dispensary,07:23 AM,0.42 km,28.7040592,77.10249019999999
100,Police Station Paharganj,07:24 AM,0.17 km,28.6455835,77.2089033
100,Jhandewalan,07:25 AM,0.4 km,28.6472827,77.2028368
100,Karol Bagh Terminal,07:27 AM,0.34 km,28.64837,77.20066
100,Faiz Road,07:27 AM,0.2 km,28.6503063,77.2003858
100,Guru Govind Singh Crossing (Faiz Road),07:29 AM,0.46 km,28.6528935,77.20226799999999
100,Filmistan,07:32 AM,0.7 km,28.659583,77.20289199999999
100,Bara Hindu Rao,07:33 AM,0.32 km,28.6613574,77.2024306
100,Azad Market,07:34 AM,0.29 km,28.6631631,77.211953
100,Ice Factory (Rani Jhansi Road),07:36 AM,0.48 km,28.66634,77.20886999999999
100,PS Sabzi Mandi / Ice Factory,07:38 AM,0.28 km,28.6694,77.20756
100,Gali Daak Khana,07:39 AM,0.41 km,28.6738,77.2073
100,Malka Ganj Terminal,07:41 AM,0.5 km,28.67721,77.20792999999999
100,Hansraj College,07:42 AM,0.17 km,28.6797055,77.2102467
100,Kirodi Mal College,07:44 AM,0.53 km,28.6830334,77.2077194
100,Ramjas College / Mourice Nagar 2,07:45 AM,0.34 km,28.685435,77.20454
100,Shri Ram College,07:46 AM,0.26 km,28.68921,77.20691699999999
100,Patel Chest,07:48 AM,0.38 km,28.7031003,77.20484499999999
100,Khalsa College,07:49 AM,0.32 km,28.6945924,77.2116161
100,GTB Nagar,07:51 AM,0.55 km,28.698301,77.2046494
100,New Police Line,07:52 AM,0.25 km,28.69962739999999,77.1961419
100,Alpana Cinema (Model Town Mtr Stn),07:56 AM,1.02 km,28.70302,77.19384
100,Model Town II,07:58 AM,0.34 km,28.7097634,77.18915609999999
100,Model Town III,08:00 AM,0.56 km,28.70543099999999,77.1860871
100,Azadpur Metro station,08:02 AM,0.45 km,28.70718269999999,77.1806263
100,Azad Pur Terminal,08:03 AM,0.26 km,28.7146959,77.1770461
100,New Sabzi Mandi,08:06 AM,0.9 km,28.7127804,77.1708039
100,Adarsh Nagar / Bharola Village,08:08 AM,0.28 km,28.715184,77.16972559999999
