Bus No,Stop Name,Arrival Time,Distance,Latitude,Longitude
03STL,Indraprastha Depot,06:00 AM,0,28.62028158790497, 77.2485087414092
03STL,IP Power Station / ITO Ring Road,06:02 AM,0.5,28.62449,77.24716
03STL,ITO Ring Road,06:04 AM,0.6,28.626473851337366, 77.2467006485735
03STL,IG Stadium,06:06 AM,0.4,28.63371844792163, 77.24650436878052
03STL,Gandhi Darshan,06:07 AM,0.4,28.636943829987217, 77.2466462698877
03STL,Raj Ghat,06:09 AM,0.5,28.641493655120065, 77.24674161542681
03STL,Shakti Sthal,06:10 AM,0.6,28.6455747931434, 77.24675549002461
03STL,Shanti Vana,06:12 AM,0.3,28.64917370684969, 77.24553916660602
03STL,Vijay Ghat,06:16 AM,1,28.657784895893975, 77.24477925313369
03STL,Hanuman Mandir / Yamuna Bazar,06:20 AM,1,28.66301405571803, 77.23694991542517
03STL,GGS Indraprastha University Kashmere Gate,06:21 AM,0.3,28.664938036049328, 77.23460718977644
03STL,ISBT Ring Road,06:25 AM,0.8,28.671332034500416, 77.23114470967855
03STL,Metcalfe House,06:29 AM,1.1,28.680943243465137, 77.22766473648124
03STL,IP College (GT Road),06:30 AM,0.3,28.682111465985052, 77.22434430468398
03STL,Old Secretariat (Postal Account Office),06:32 AM,0.3,28.68378825029137, 77.22210570853939
03STL,Vidhan Sabha Metro Station,06:33 AM,0.5,28.687771643438694, 77.22159750358989
03STL,Khyber Pass,06:35 AM,0.3,28.690619618801776, 77.22115808376238
03STL,Mall Road,06:36 AM,0.4,28.693611376164963, 77.21837305092302
03STL,Vishwa Vidyalaya Metro Station,06:38 AM,0.5,28.695234335478045, 77.21395936865072
03STL,INS Hostel,06:40 AM,0.3,28.696172144754804, 77.21168642131352
03STL,GTB Nagar,06:42 AM,0.6,28.69835767642738, 77.205728637206
03STL,New Police Line,06:43 AM,0.3,28.69918011574884, 77.20338464508544
03STL,Alpana Cinema (Model Town Mtr Stn),06:47 AM,1,28.70273442591189, 77.19371167912539
03STL,Model Town II,06:48 AM,0.3,28.704051415474467, 77.19050586495491
03STL,Model Town III,06:50 AM,0.6,28.70590626756181, 77.18518337733133
03STL,Azadpur Metro station,06:52 AM,0.5,28.70729278785128, 77.18092306023644
03STL,Azad Pur Terminal,06:53 AM,0.3,28.707663939667672, 77.17819781439272
03STL,Kewal Park,06:55 AM,0.3,28.709721477560475, 77.1762511619028
03STL,Shalimar Bagh A Block,06:58 AM,0.8,28.704702442773453, 77.16973619720657
03STL,Shalimar Bagh AE Block,07:00 AM,0.5,28.70833210768324, 77.16649236928248
03STL,Shalimar Bagh BA Block,07:02 AM,0.5,28.7181465,77.15768349999999
03STL,Shalimar Bagh BJ Block,07:04 AM,0.5,28.71273915730979, 77.15873451395161
03STL,Shalimar Bagh BH Block,07:05 AM,0.3,28.715134590620547, 77.15700355290909
03STL,Shalimar Bagh DESU Colony,07:07 AM,0.4,28.718610880244913, 77.1584215129607
